Key,Korean(ko),English(en),Japanese(ja)
PS_ESDT_9000_1,장비를 요구한다.,Demand equipment.,装備を要求する。
PS_ESDT_9000_2,경험을 요구한다.,Demand experience.,経験を要求する。
PS_ESDT_9000_3,힘을 요구한다.,Demand power.,力を要求する。
PS_ESDT_9000_4,거절한다.,Refuse.,拒否する。
PS_ESDT_9001_1,거래의 대가는 무엇일까요.,What will be the price of this deal?,取引の代価は何でしょうか。
PS_ESDT_9002_1,계속해서 탐색한다.,Continue exploring.,探索を続ける。
PS_ESDT_9010_1,모두 사용,Use all.,すべて使う。
PS_ESDT_9010_2,더 사용,Use more.,さらに使う。
PS_ESDT_9010_3,하나 사용,Use one.,一つ使う。
PS_ESDT_9010_4,감사 표시,Show gratitude.,感謝を示す。
PS_ESDT_9011_1,바구니를 떠난다.,Leave the basket.,かごを離れる。
PS_ESDT_9020_1,지켜본다.,Keep Watching.,様子を見る。
PS_ESDT_9020_2,도와준다.,Help.,助ける。
PS_ESDT_9020_3,적극적으로 도와준다.,Help actively.,積極的に助ける。
PS_ESDT_9021_1,계속해서 탐색한다.,Continue exploring.,探索を続ける。
PS_ESDT_9022_1,계속해서 탐색한다.,Continue exploring.,探索を続ける。
PS_ESDT_9023_1,특이한 몬스터를 만났습니다.,You encounter a peculiar monster.,珍しいモンスターに出会いました。
PS_ESDT_9030_1,장비와 경험을 챙긴다.,Take equipment and experience.,装備と経験を回収する。
PS_ESDT_9030_2,경험을 챙긴다.,Take experience.,経験を回収する。
PS_ESDT_9030_3,경험을 챙기고 화장한다.,Take experience and cremate.,経験を回収して火葬する。
PS_ESDT_9030_4,화장한다.,Cremate.,火葬する。
PS_ESDT_9031_1,계속해서 탐색한다.,Continue exploring.,探索を続ける。
PS_ESDT_9032_1,계속해서 탐색한다.,Continue exploring.,探索を続ける。
PS_ESDT_9040_1,모두 사용,Use all.,すべて使う。
PS_ESDT_9040_2,더 사용,Use more.,さらに使う。
PS_ESDT_9040_3,하나 사용,Use one.,一つ使う。
PS_ESDT_9040_4,감사 표시,Show gratitude.,感謝を示す。
PS_ESDT_9041_1,바구니를 떠난다.,Leave the basket.,かごを離れる。
PS_ESDT_9050_1,분수속 경험을 챙긴다.,Collect the experience from the fountain.,噴水の中の経験を回収する。
PS_ESDT_9050_2,가볍게 기도한다.,Offer a brief prayer.,軽く祈る。
PS_ESDT_9050_3,경험을 바치고 기도한다.,Offer experience and pray.,経験を捧げて祈る。
PS_ESDT_9051_1,분수를 떠난다.,Leave the fountain.,噴水を離れる。
PS_ESDT_9052_1,분수를 떠난다.,Leave the fountain.,噴水を離れる。
PS_ESDT_9060_1,최대한 흡수한다.,Absorb as much as possible.,可能な限り吸収する。
PS_ESDT_9060_2,적당히 흡수한다.,Absorb a moderate amount.,ほどほどに吸収する。
